source	run	sample	experiment	library_name	library_strategy	library_selection	library_source	library_layout	insert_size
PRJNA192205_runinfo.csv	SRR5296249	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296250	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296251	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296252	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296253	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296254	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296255	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296256	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296257	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296258	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296259	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296260	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296261	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296262	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296263	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296264	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296265	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296266	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296267	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296268	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296269	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296270	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296271	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296272	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296273	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296274	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296275	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296276	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296277	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296278	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296279	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296280	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296281	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296282	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296283	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296284	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296285	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296286	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296287	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296288	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296289	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296290	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296291	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296292	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296293	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296294	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296295	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296296	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296297	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296298	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296299	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296300	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR5296301	S_Up_H32	SRX2568199	nan	WGS	size fractionation	GENOMIC	SINGLE	0
